fouc,f**k off you c**t 
bewbs,boobs
tmo,take me out
enuf,enough
cwyl,chat with ya later
poets,piss off early, tomorrow's Saturday
ilysmm,i love you so much more
omgwtfbbq,oh my God, what the f**k
naft,Not A f**king Thing
ujds,u just did s**t
aitr,Adult in the room
oibmpc,oops I broke my computer
lawled,laughed out loud
yfg,you're f**king gay
pp,pee pee
nafc,Not Appropriate for Children
np,no problem
in2,into
idyat,idiot
mir,mom in room
dcw,Doing Cla** Work
p^s,parent over shoulder
mite,might
grrl,Girl
wutup,What's Up
c/t,can't talk
ashl,a**h**e
goia,get over it already
idrk,i don't really know
iywt,if you want to
wtfayt,why the f**k are you talking
idot,idiot
ndn,indian
r0x0rz,rocks
pmfsl,piss my f**king self laughing
idrc,i don't really care
mfao,my f**king a** off
mofo,mother f**ker
hiet,height
kewel,cool
shiznat,s**t
nds,Nintendo DS
swtf,seriously, what the f**k
bsomn,blowing stuff out my nose
tgif,thank god it's friday
gomb,get off my back
fudh,f**k you d**k head
burma,be undressed ready my angel
nntst,no need to say thanks
h8,hate
h9,Husband in Room
jtwiw,just the way it was.
vf,very funny
h2,Halo 2
ijsabomomcibstg,I just saved a bunch of money on my car insurance by switching to geico
ianacl,I am not a copyright lawyer
bffaw,best friends for a while
n/n,nickname
tsig,that site is gay
bsod,blue screen of death
chronic,marijuana
otc,off the chain
eula,end user license agreement
mssg,message
ymbkm,you must be kidding me
ootd,outfit of the day
bffae,Best Friends Forever And Ever
jtwii,just the way it is.
enuff,enough
bffaa,Best Friends Forever And Always
ulbom,you looked better on myspace
gtha,go the hell away
gthb,go to hell b***h
stsp,Same Time Same Place
gtho,get the hell out
appt,appointment
vag,vagina
gl&hf,good luck and have fun
gthu,grow the heck up
rtfmfm,read the f**king manual f**king moron
ttytm,talk to you tomorrow
tg,thank god
4lyfe,for life
noaa,National Oceanic and Atmospheric Administration
dlibu,Dont let it bother you
yru,why are you?
yhew,you
pg,page
lolio,laugh out loud I own
hy,hell yeah
kmao,kick my a** off
pcrs,Parents can read slang
kthxmn,Ok Thanks Man
gaoep,generally accepted office etiquette principles
bur,p***y
2b4u,too bad for you
isb,I'm so bored.
hv,have
ead,eat a d**k
grats,congratulations
hu,Hey you
hj,hand job
ygtbsm,You've got to be shitting me
ho,hold on
hl,Half-Life
swp,sorry wrong person
hb,hurry back
hc,how come
c.y.a,cover your a**
n/c,no comment
funner,more fun
hg,HockeyGod
cpm,cost per 1000 impressions
celly,cell phone
ffxi,Final Fantasy 11
evercrack,Everquest
bbbj,Bare Back Blow Job
tomoz,tomorrow
gtas,go take a s**t
dmi,don't mention it
bck,back
whatevs,whatever
dmn,d**n
c 2 c,cam to cam (webcams)
byob,Bring your own Beer
byoc,bring our own computer
ttyna,talk to you never again
dmu,don't mess up
jumping the couch,acting strange
arnd,around
omgwtfnipples,on my God, what the f**k
dmy,don't mess yourself
byoh,bring your own high
lvn,loving
siol,Shout It Out Loud
vfe,Virgins 4 ever
cmon,Come on
sool,s**t out of luck
tbvh,to be very honest
lfr,Laughing for real
ilcul8r,I'll see you later
imao,in my arrogant opinion
pix,pictures
u'r,you're
ihiwydt,I hate it when you do that
inh,I need help
ilyal,I like you a lot
myn,mine
nrg,energy
pir,parents in room
4q,f**k you
haxors,hackers
wnkr,wanker
nrn,No Response Necessary
4n,Phone
hpy,happy
31ee7,elite
g@y,gay
tyfn,thank you for nothing
posmbri,parent over shoulder might be reading it
whaddya,what do you
ssry,so sorry
10tacle,Tentacle
oaw,on a website
sicl,sitting in chair laughing
poms,parent over my shoulder
4m,form
dwbi,Don't worry about it.
dwbh,don't worry, be happy
chohw,Come Hell or high water
pitr,parent in the room
hpb,high ping b*****d
igalboc,I've got a lovely bunch of cocnuts
wiyp,what is your problem
troll,person who diliberately stirs up trouble
pcm,please call me
ytis,You think I'm special?
lmtfa,leave me the f**k alone
wtfbs,What the f**k bull s**t
foocl,falls out of chair laughing
ifhu,I f**king hate you
witfp,What is the f**king point
ionno,I don't know
iavb,i am very bored
kots,keep on talking s**t
dylm,do you love me
wgac,who gives a crap
8008,boob
dylh,do you like him
kinda,kind of
m.o,makeout
eedyat,idiot
foia,freedom of information act
eoc,end of conversation
eob,End of Business
bch,b***h
eof,end of file
hng,horny net geek
eod,End of day
4u,for you
l8rz,later
kotl,kiss on the lips
eom,end of message
cre8or,creator
eos,end of story
bwoc,Big Woman On Campus
rofl&pmp,rolling on floor laughing and peeing my pants
eot,end of transmission
mmorpg,massively multiplayer online role playing game
nty,no thank you
yvfw,you're very f**king welcome
bfitww,best friend in the whole world
